U36759_s_at,U58087_at,U57450_at,D85815_at,X04470_s_at,U12139_at,D29833_at,X54457_s_at,M58569_s_at,U15173_at,D49824_at,HG3437-HT3628_s_at,X78416_s_at,X64559_at,U45448_s_at,U07559_at,X62573_at,X54131_at,U06233_at,U81787_at,M96326_rna1_at,Y07565_s_at,U43279_at,Y11416_at,L13720_at,X66436_at,U02566_s_at,D87470_at,U38372_at,HG537-HT537_at,D87460_at,D38037_at,M55040_at,X74837_at,U68031_at,J02874_at,X59766_at,D87462_at,U52827_at,L10338_s_at,X07730_at,U00951_at,M36542_s_at,U29656_at,X57809_at,U23430_s_at,U00957_at,U18237_at,L22454_at,U82759_at,U57341_r_at,L22214_at,X74328_rna1_at,L06133_at,J05036_s_at,S61953_at,X92762_at,D55643_s_at,U49248_at,S78873_s_at,AB004884_at,M81181_s_at,HG4333-HT4603_at,X59244_f_at,L07807_s_at,X76498_at,S72043_rna1_at,X80026_at,Z34974_s_at,M11437_cds2_at,U25433_at,L34673_at,HG3897-HT4167_at,U58837_s_at,X63657_at,J04040_at,X05232_at,X97303_at,L35240_at,M35531_at,L11369_at,D50913_at,U50743_at,D87673_at,M30838_at,M16801_at,X70070_at,L42601_f_at,M95585_s_at,X78924_at,M34344_at,U62966_at,X17094_at,M63904_at,U10991_at,M62400_at,AF000545_at,D14822_at,U01877_at,AD000092_cds1_at,class
0.0854,-0.117,0.9988,-0.2071,0.5486,0.2721,-0.8574,-0.7165,0.4443,-0.4919,-0.2917,0.6595,-0.0763,-0.4198,1.5228,-0.2212,0.3953,-0.1635,-0.1215,0.7698,0.6579,-0.666,-1.4162,-0.2977,-0.4621,0.2721,0.8671,0.3265,0.9063,1.3347,0.3892,-0.9152,0.0619,-1.7761,-0.3575,-0.5079,0.4998,0.5331,1.0082,0.5911,0.3942,0.6997,0.0437,0.3194,0.3194,1.0058,-1.0864,1.0058,-0.9678,0.9098,0.0482,-0.3575,-0.5079,1.0082,0.3892,0.5331,1.3347,0.0437,0.0619,0.3942,0.3194,0.4998,-0.6048,1.1747,1.0058,-0.9678,-0.666,-0.4621,0.3265,-1.7761,0.2721,0.3953,-0.1635,-1.4162,0.6579,0.5911,0.7698,0.8671,-0.9152,-0.2977,1.0058,-0.2212,-0.4198,1.5228,-0.7165,-0.2917,0.9063,-0.1215,0.4443,0.6595,-0.8574,-0.117,0.2721,-0.4919,-0.0763,0.9988,-0.2071,0.5486,0.6997,0.0854,DLBCL
0.033,-0.1895,0.1882,-0.1194,0.2728,0.134,0.0433,0.4678,0.6355,-0.16,0.4121,-0.1467,-0.6365,0.6206,0.0602,-0.2429,-0.2871,-0.3326,-0.3875,-1.1398,0.2187,-0.4167,-1.0806,0.6094,0.1882,-0.4477,-0.0623,0.2405,0.6524,0.1434,-0.3652,-0.0302,-0.7236,-0.1569,0.9346,-0.33,0.0666,0.472,0.5936,0.4941,-0.0435,0.3259,-0.012,0.4186,0.4186,-0.508,0.0342,-0.508,-0.148,0.5378,-0.4111,0.9346,-0.33,0.5936,-0.3652,0.472,0.1434,-0.012,-0.7236,-0.0435,0.4186,0.0666,-0.7069,-0.7604,-0.508,-0.148,-0.4167,0.1882,0.2405,-0.1569,-0.4477,-0.2871,-0.3326,-1.0806,0.2187,0.4941,-1.1398,-0.0623,-0.0302,0.6094,-0.508,-0.2429,0.6206,0.0602,0.4678,0.4121,0.6524,-0.3875,0.6355,-0.1467,0.0433,-0.1895,0.134,-0.16,-0.6365,0.1882,-0.1194,0.2728,0.3259,0.033,DLBCL
-0.2456,0.495,-0.4606,-0.3033,-0.1362,-0.0512,-0.4024,0.0979,-0.4248,1.4677,0.6527,-0.0329,-1.204,-0.5762,-0.3962,-0.7522,0.0672,-0.3165,-1.416,-0.3704,0.0225,-0.7778,0.1691,0.0223,0.2058,-0.6112,0.4089,0.114,-0.3339,-0.0608,-0.3819,0.116,0.2157,-0.9971,-1.1327,-0.0133,-0.8454,0.6282,0.3953,-0.4631,-0.7833,0.3231,1.2014,0.5493,0.5493,0.259,0.5292,0.259,0.5041,-0.7707,-0.2653,-1.1327,-0.0133,0.3953,-0.3819,0.6282,-0.0608,1.2014,0.2157,-0.7833,0.5493,-0.8454,-0.068,-0.0816,0.259,0.5041,-0.7778,0.2058,0.114,-0.9971,-0.6112,0.0672,-0.3165,0.1691,0.0225,-0.4631,-0.3704,0.4089,0.116,0.0223,0.259,-0.7522,-0.5762,-0.3962,0.0979,0.6527,-0.3339,-1.416,-0.4248,-0.0329,-0.4024,0.495,-0.0512,1.4677,-1.204,-0.4606,-0.3033,-0.1362,0.3231,-0.2456,DLBCL
-0.2671,0.2386,1.5318,0.3726,0.6693,-0.1127,-0.291,0.1698,-0.6739,-0.2805,-0.5656,0.0492,0.4912,-0.5035,-0.8627,0.1906,0.2258,0.5611,1.829,0.9215,-0.4597,1.7328,1.2221,-0.4388,-0.1399,0.4225,-0.4841,-0.5539,0.6329,-0.0329,-0.317,0.5703,-0.8334,0.9021,0.4867,-0.2606,-0.397,-0.2141,-0.5014,0.7884,1.0207,-0.2854,-0.6799,-0.0841,-0.0841,0.6611,-0.0202,0.6611,0.2793,-0.515,0.4239,0.4867,-0.2606,-0.5014,-0.317,-0.2141,-0.0329,-0.6799,-0.8334,1.0207,-0.0841,-0.397,0.8081,0.0491,0.6611,0.2793,1.7328,-0.1399,-0.5539,0.9021,0.4225,0.2258,0.5611,1.2221,-0.4597,0.7884,0.9215,-0.4841,0.5703,-0.4388,0.6611,0.1906,-0.5035,-0.8627,0.1698,-0.5656,0.6329,1.829,-0.6739,0.0492,-0.291,0.2386,-0.1127,-0.2805,0.4912,1.5318,0.3726,0.6693,-0.2854,-0.2671,DLBCL
0.4006,-0.4774,-0.9991,-0.2648,0.2869,-0.507,0.0712,0.1441,-0.2857,-0.991,-0.2226,0.2993,0.1595,0.4933,-0.1464,0.3911,-0.0871,-0.3245,1.102,-0.8253,-1.6745,0.082,-1.1501,-0.0835,0.4059,0.6984,-1.299,-1.7227,1.3457,-0.1722,0.4207,0.5885,-0.1963,-0.4107,0.3316,-0.2515,0.3858,-1.4753,-1.0512,0.064,-0.4522,1.0709,-0.3933,-0.5259,-0.5259,0.2216,0.4258,0.2216,0.8712,-1.4283,0.116,0.3316,-0.2515,-1.0512,0.4207,-1.4753,-0.1722,-0.3933,-0.1963,-0.4522,-0.5259,0.3858,0.3734,-0.2629,0.2216,0.8712,0.082,0.4059,-1.7227,-0.4107,0.6984,-0.0871,-0.3245,-1.1501,-1.6745,0.064,-0.8253,-1.299,0.5885,-0.0835,0.2216,0.3911,0.4933,-0.1464,0.1441,-0.2226,1.3457,1.102,-0.2857,0.2993,0.0712,-0.4774,-0.507,-0.991,0.1595,-0.9991,-0.2648,0.2869,1.0709,0.4006,DLBCL
0.4903,0.3997,-0.0966,0.0753,-0.2286,0.0775,0.5448,0.419,-0.3437,-0.0715,0.0282,0.2359,-0.3195,-0.0742,-0.5995,0.0281,-0.274,0.2954,0.0558,-0.2356,0.1215,-0.1071,-0.6062,0.1861,-0.7857,-0.0798,0.172,-0.2857,0.3497,-0.2712,0.2353,-0.2521,0.018,-0.1569,0.0388,-0.2685,-0.1082,-0.1575,0.1204,-0.7347,-0.0568,-1.3798,0.0776,0.414,0.414,0.0493,0.4693,0.0493,0.3869,-0.2958,0.0095,0.0388,-0.2685,0.1204,0.2353,-0.1575,-0.2712,0.0776,0.018,-0.0568,0.414,-0.1082,0.7422,0.9344,0.0493,0.3869,-0.1071,-0.7857,-0.2857,-0.1569,-0.0798,-0.274,0.2954,-0.6062,0.1215,-0.7347,-0.2356,0.172,-0.2521,0.1861,0.0493,0.0281,-0.0742,-0.5995,0.419,0.0282,0.3497,0.0558,-0.3437,0.2359,0.5448,0.3997,0.0775,-0.0715,-0.3195,-0.0966,0.0753,-0.2286,-1.3798,0.4903,DLBCL
-0.4046,0.1032,-0.2841,0.1737,0.0174,0.0503,0.9905,0.0696,-0.251,-0.6739,0.5043,-0.2456,-0.5849,0.2968,-0.1131,-0.8714,-0.0784,0.6416,-0.9727,0.0116,-0.2522,0.3657,-0.7103,0.1533,-0.0781,-0.7076,-0.5179,0.0533,0.5743,0.1218,-0.0853,0.4502,0.1772,-0.3495,0.0215,-0.4922,-0.3362,-0.9794,0.4314,-0.5989,0.3542,0.4405,0.7326,0.1097,0.1097,-0.0398,-0.5914,-0.0398,-0.5784,0.5445,0.2113,0.0215,-0.4922,0.4314,-0.0853,-0.9794,0.1218,0.7326,0.1772,0.3542,0.1097,-0.3362,-0.0844,0.0954,-0.0398,-0.5784,0.3657,-0.0781,0.0533,-0.3495,-0.7076,-0.0784,0.6416,-0.7103,-0.2522,-0.5989,0.0116,-0.5179,0.4502,0.1533,-0.0398,-0.8714,0.2968,-0.1131,0.0696,0.5043,0.5743,-0.9727,-0.251,-0.2456,0.9905,0.1032,0.0503,-0.6739,-0.5849,-0.2841,0.1737,0.0174,0.4405,-0.4046,DLBCL
-0.0315,0.6399,-0.6131,-0.0488,-0.2333,-0.5177,0.2662,-0.046,-0.4422,-0.0813,-0.3864,0.1015,-0.4006,-0.6781,-0.2896,-0.1724,-0.3631,-0.5258,-0.2457,-0.6119,-0.3363,-0.5199,-0.421,-0.2221,-0.4886,-0.8492,-0.4841,-0.1845,-1.0565,-0.528,-0.4338,-0.5001,0.1553,1.0509,0.6762,-0.1978,0.0552,0.0078,-0.3482,-0.9288,-0.6322,-0.1626,-0.1165,-0.012,-0.012,-0.0743,0.2572,-0.0743,-0.2936,-0.4619,0.0232,0.6762,-0.1978,-0.3482,-0.4338,0.0078,-0.528,-0.1165,0.1553,-0.6322,-0.012,0.0552,0.4359,0.5128,-0.0743,-0.2936,-0.5199,-0.4886,-0.1845,1.0509,-0.8492,-0.3631,-0.5258,-0.421,-0.3363,-0.9288,-0.6119,-0.4841,-0.5001,-0.2221,-0.0743,-0.1724,-0.6781,-0.2896,-0.046,-0.3864,-1.0565,-0.2457,-0.4422,0.1015,0.2662,0.6399,-0.5177,-0.0813,-0.4006,-0.6131,-0.0488,-0.2333,-0.1626,-0.0315,DLBCL
0.0508,0.3329,-0.444,0.9758,0.1475,-0.5241,-0.4024,-0.3979,0.0561,-0.3616,-0.3736,-0.3445,0.3217,0.024,-0.0831,0.6295,0.7691,0.6899,0.3218,0.1239,0.5028,0.4775,0.0418,-0.6328,1.8741,2.0198,0.6276,-0.0985,0.7891,-0.33,0.0815,0.1108,0.8803,-0.5333,-0.9087,-0.4006,0.7507,-0.6534,-0.8665,0.009,-0.9987,0.6015,0.8471,-0.7987,-0.7987,-1.275,0.1647,-1.275,0.6117,-1.5014,1.1039,-0.9087,-0.4006,-0.8665,0.0815,-0.6534,-0.33,0.8471,0.8803,-0.9987,-0.7987,0.7507,1.5194,0.2261,-1.275,0.6117,0.4775,1.8741,-0.0985,-0.5333,2.0198,0.7691,0.6899,0.0418,0.5028,0.009,0.1239,0.6276,0.1108,-0.6328,-1.275,0.6295,0.024,-0.0831,-0.3979,-0.3736,0.7891,0.3218,0.0561,-0.3445,-0.4024,0.3329,-0.5241,-0.3616,0.3217,-0.444,0.9758,0.1475,0.6015,0.0508,DLBCL
-0.846,-0.3802,-0.1408,-0.6862,-0.1126,-0.1805,-0.0588,0.3368,-0.3611,-0.3813,0.5862,0.2862,-0.0911,-0.6926,-0.4162,-0.6764,-0.5739,-0.9122,-0.1215,-0.6231,-0.0579,-0.3737,-0.502,-0.0684,0.0764,0.0867,0.5964,-0.2402,-0.6268,-0.1784,-0.28,-0.1712,-0.7345,0.1669,-0.9604,-0.2685,-0.2754,0.2365,0.7513,-0.5116,-0.4545,-0.3018,-0.4361,-0.3028,-0.3028,-0.2782,-0.4173,-0.2782,-0.2176,-0.4253,-0.5115,-0.9604,-0.2685,0.7513,-0.28,0.2365,-0.1784,-0.4361,-0.7345,-0.4545,-0.3028,-0.2754,-0.529,-0.0732,-0.2782,-0.2176,-0.3737,0.0764,-0.2402,0.1669,0.0867,-0.5739,-0.9122,-0.502,-0.0579,-0.5116,-0.6231,0.5964,-0.1712,-0.0684,-0.2782,-0.6764,-0.6926,-0.4162,0.3368,0.5862,-0.6268,-0.1215,-0.3611,0.2862,-0.0588,-0.3802,-0.1805,-0.3813,-0.0911,-0.1408,-0.6862,-0.1126,-0.3018,-0.846,DLBCL
0.0882,-1.0332,-0.0378,-0.2648,0.4468,0.6893,-0.6531,0.347,-0.3958,-0.0469,-0.7012,-0.0553,0.7049,-0.4416,-1.1659,1.4044,0.228,-0.5821,1.6339,-0.1232,-0.5232,0.4259,1.3957,-0.5522,-0.4738,1.3087,-0.4398,-0.2554,-0.8319,-0.364,0.3447,-1.9256,0.0784,-1.1547,-0.0991,-0.3287,1.2181,-1.5727,-1.0287,0.0769,-1.0632,0.5606,-0.2569,-0.8054,-0.8054,-0.9016,-0.3357,-0.9016,0.7161,-0.8538,0.2536,-0.0991,-0.3287,-1.0287,0.3447,-1.5727,-0.364,-0.2569,0.0784,-1.0632,-0.8054,1.2181,0.6829,0.2641,-0.9016,0.7161,0.4259,-0.4738,-0.2554,-1.1547,1.3087,0.228,-0.5821,1.3957,-0.5232,0.0769,-0.1232,-0.4398,-1.9256,-0.5522,-0.9016,1.4044,-0.4416,-1.1659,0.347,-0.7012,-0.8319,1.6339,-0.3958,-0.0553,-0.6531,-1.0332,0.6893,-0.0469,0.7049,-0.0378,-0.2648,0.4468,0.5606,0.0882,DLBCL
0.2893,1.0556,-0.0985,1.8978,0.0942,-0.4448,-0.4581,-1.3715,-1.0621,0.3318,-1.6456,0.9767,0.9481,-2.1987,0.0769,-1.2832,2.2426,-0.558,-0.7422,0.7136,1.0971,-0.3823,-0.6293,-0.653,0.2985,-0.4696,0.4766,0.3417,-0.451,0.3538,1.6682,0.2753,1.1604,-1.1284,-1.8735,0.1358,-2.4035,0.4063,0.2962,0.4553,0.6119,-0.0589,0.5922,0.2608,0.2608,1.181,-0.983,1.181,0.6243,0.7902,2.1474,-1.8735,0.1358,0.2962,1.6682,0.4063,0.3538,0.5922,1.1604,0.6119,0.2608,-2.4035,1.2527,-0.8237,1.181,0.6243,-0.3823,0.2985,0.3417,-1.1284,-0.4696,2.2426,-0.558,-0.6293,1.0971,0.4553,0.7136,0.4766,0.2753,-0.653,1.181,-1.2832,-2.1987,0.0769,-1.3715,-1.6456,-0.451,-0.7422,-1.0621,0.9767,-0.4581,1.0556,-0.4448,0.3318,0.9481,-0.0985,1.8978,0.0942,-0.0589,0.2893,DLBCL
